show_no,focus_day,ring_no,ring_name,ring_day_no,class_no,event_name,entry_order,entry_no,horse,rider,trainer,order_status
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,17,1919,Carla,Selcuk Koksalan,Selcuk Koksalan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,18,1995,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,19,1882,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,20,1962,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,21,2174,Komet 306,Antonio J. Martinez,Antonio J. Martinez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,22,2094,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,23,2367,Khadiri,Jake Evans,Jake Evans,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,24,2081,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,25,1225,Cardline Kdw Z,Megan Wexler,Megan Wexler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,26,1047,Sandenal,Tanner Korotkin,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,27,1181,Kentucky N,Wilton J. Porter,Wilton J. Porter,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,28,2618,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,29,2932,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,30,2875,Kawir Ms,Jared P. Petersen,Jared P. Petersen,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,31,2880,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,32,1002,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,33,1695,I Jump D'authuit,Declan Egan,Declan Egan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,34,2950,Denison Park Combat,Elizabeth Schumann,Brian Murphy,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,35,2534,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,36,1017,Défi De La Roque,Juan Benítez,Juan Benítez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,37,2617,Istina Van De Kapel,Georgia Bouzaid,David Cameron,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,38,1323,Uncle John’s Band,Camille Maynard,Camille Maynard,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,39,2189,Indianapolis,Ivy Nyberg,Ivy Nyberg,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,40,1916,Hhf Levison's Pride,Bryce P. Richardson,Bryce P. Richardson,Class Ordered By: Custom
