entry_go_key,show_no,focus_day,ring_day_no,ring_no,class_no,class_start_time,display_time,entry_count,entry_no,entry_order,horse,rider,trainer,go_time
28941|118|19,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,118,19,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,
28941|126|20,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,126,20,Hendrick Des Forets,Jodie Camberg,Megan Wexler,
28941|153|21,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,153,21,Champion League,Sharn L. Wordley,Sharn L. Wordley,
28941|133|22,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,133,22,My Diamant,Laura Gaither,Laura Gaither,
28941|107|23,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,107,23,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,
28941|140|24,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,140,24,Dorchester,Nora Nauss,Andrew C. Welles,
28941|116|25,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,116,25,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,
28941|152|26,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,152,26,Gradje O,Samuel Parot,Samuel Parot,
28941|115|27,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,115,27,Goliath De L’ Eldorado,Declan Egan,Declan Egan,
28941|156|28,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,156,28,Yalambis Ikon,Maddison Stephen,Maddison Stephen,
28941|131|29,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,131,29,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,
28941|119|30,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,119,30,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,
28941|113|31,14906,2026-06-10,3860,670,28941,10:00:00,10:00 am,27,113,31,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,
29134|1565|1,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1565,1,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,
29134|1112|2,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1112,2,Cavendish,Wilton J. Porter,Wilton J. Porter,
29134|3007|3,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,3007,3,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,
29134|1587|4,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1587,4,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,
29134|2952|5,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2952,5,Glenara Chacco Dp,Brian Murphy,Brian Murphy,
29134|2934|6,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2934,6,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,
29134|1700|7,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1700,7,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,
29134|2362|8,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2362,8,Constantin De Hus,John Michael Durr,John Michael Durr,
29134|1907|9,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1907,9,Wild Kat,Jamie Alnwick,Scott Keach,
29134|2020|10,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2020,10,Kannador,Clark Montgomery,Molly A. Kenney,
29134|1696|11,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1696,11,Kinmar Candy Hero,Declan Egan,Declan Egan,
29134|1341|12,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1341,12,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,
29134|2124|13,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2124,13,Spy,Paul O'Shea,Davide Troncanetti,
29134|2961|14,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2961,14,Evolene De Carles,Vicente Guillen,Vicente Guillen,
29134|1784|15,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1784,15,Storiall Blue,Stella Stinnett,Thea N. Stinnett,
29134|2185|16,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2185,16,Inka Malpic,Rebecca Conway,Conan Conway,
29134|1919|17,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1919,17,Carla,Selcuk Koksalan,Selcuk Koksalan,
29134|1995|18,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1995,18,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,
29134|1882|19,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1882,19,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,
29134|1962|20,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1962,20,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,
29134|2174|21,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2174,21,Komet 306,Antonio J. Martinez,Antonio J. Martinez,
29134|2094|22,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2094,22,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,
29134|2367|23,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2367,23,Khadiri,Jake Evans,Jake Evans,
29134|2081|24,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2081,24,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,
29134|1225|25,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1225,25,Cardline Kdw Z,Megan Wexler,Megan Wexler,
29134|1047|26,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1047,26,Sandenal,Tanner Korotkin,Alan Korotkin,
29134|1181|27,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1181,27,Kentucky N,Wilton J. Porter,Wilton J. Porter,
29134|2618|28,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2618,28,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,
29134|2932|29,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2932,29,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,
29134|2875|30,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2875,30,Kawir Ms,Jared P. Petersen,Jared P. Petersen,
29134|2880|31,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2880,31,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,
29134|1002|32,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1002,32,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,
29134|1695|33,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1695,33,I Jump D'authuit,Declan Egan,Declan Egan,
29134|2950|34,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2950,34,Denison Park Combat,Elizabeth Schumann,Brian Murphy,
29134|2534|35,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2534,35,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,
29134|1017|36,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1017,36,Défi De La Roque,Juan Benítez,Juan Benítez,
29134|2617|37,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2617,37,Istina Van De Kapel,Georgia Bouzaid,David Cameron,
29134|1323|38,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,1323,38,Uncle John’s Band,Camille Maynard,Camille Maynard,
29134|2189|39,14906,2026-06-10,3860,670,29134,11:45:00,11:45 am,71,2189,39,Indianapolis,Ivy Nyberg,Ivy Nyberg,
