class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
29134|1907,,670,,,29134,,,,,9,1907,Wild Kat,Jamie Alnwick,Scott Keach,class_oog.php,
29134|2020,,670,,,29134,,,,,10,2020,Kannador,Clark Montgomery,Molly A. Kenney,class_oog.php,
29134|1696,,670,,,29134,,,,,11,1696,Kinmar Candy Hero,Declan Egan,Declan Egan,class_oog.php,
29134|1341,,670,,,29134,,,,,12,1341,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,class_oog.php,
29134|2124,,670,,,29134,,,,,13,2124,Spy,Paul O'Shea,Davide Troncanetti,class_oog.php,
29134|2961,,670,,,29134,,,,,14,2961,Evolene De Carles,Vicente Guillen,Vicente Guillen,class_oog.php,
29134|1784,,670,,,29134,,,,,15,1784,Storiall Blue,Stella Stinnett,Thea N. Stinnett,class_oog.php,
29134|2185,,670,,,29134,,,,,16,2185,Inka Malpic,Rebecca Conway,Conan Conway,class_oog.php,
29134|1919,,670,,,29134,,,,,17,1919,Carla,Selcuk Koksalan,Selcuk Koksalan,class_oog.php,
29134|1995,,670,,,29134,,,,,18,1995,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,class_oog.php,
29134|1882,,670,,,29134,,,,,19,1882,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,class_oog.php,
29134|1962,,670,,,29134,,,,,20,1962,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,class_oog.php,
29134|2174,,670,,,29134,,,,,21,2174,Komet 306,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29134|2094,,670,,,29134,,,,,22,2094,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,class_oog.php,
29134|2367,,670,,,29134,,,,,23,2367,Khadiri,Jake Evans,Jake Evans,class_oog.php,
29134|2081,,670,,,29134,,,,,24,2081,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,class_oog.php,
29134|1225,,670,,,29134,,,,,25,1225,Cardline Kdw Z,Megan Wexler,Megan Wexler,class_oog.php,
29134|1047,,670,,,29134,,,,,26,1047,Sandenal,Tanner Korotkin,Alan Korotkin,class_oog.php,
29134|1181,,670,,,29134,,,,,27,1181,Kentucky N,Wilton J. Porter,Wilton J. Porter,class_oog.php,
29134|2618,,670,,,29134,,,,,28,2618,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,class_oog.php,
29134|2932,,670,,,29134,,,,,29,2932,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php,
29134|2875,,670,,,29134,,,,,30,2875,Kawir Ms,Jared P. Petersen,Jared P. Petersen,class_oog.php,
29134|2880,,670,,,29134,,,,,31,2880,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
29134|1002,,670,,,29134,,,,,32,1002,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,class_oog.php,
29134|1695,,670,,,29134,,,,,33,1695,I Jump D'authuit,Declan Egan,Declan Egan,class_oog.php,
29134|2950,,670,,,29134,,,,,34,2950,Denison Park Combat,Elizabeth Schumann,Brian Murphy,class_oog.php,
29134|2534,,670,,,29134,,,,,35,2534,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,class_oog.php,
29134|1017,,670,,,29134,,,,,36,1017,Défi De La Roque,Juan Benítez,Juan Benítez,class_oog.php,
29134|2617,,670,,,29134,,,,,37,2617,Istina Van De Kapel,Georgia Bouzaid,David Cameron,class_oog.php,
29134|1323,,670,,,29134,,,,,38,1323,Uncle John’s Band,Camille Maynard,Camille Maynard,class_oog.php,
29134|2189,,670,,,29134,,,,,39,2189,Indianapolis,Ivy Nyberg,Ivy Nyberg,class_oog.php,
29134|1916,,670,,,29134,,,,,40,1916,Hhf Levison's Pride,Bryce P. Richardson,Bryce P. Richardson,class_oog.php,
29134|2566,,670,,,29134,,,,,41,2566,Tough Enough,Spencer Brittan,Spencer Brittan,class_oog.php,
29134|2157,,670,,,29134,,,,,42,2157,Streya,Jacqueline Steffens Daly,Jacqueline Steffens Daly,class_oog.php,
29134|1574,,670,,,29134,,,,,43,1574,Valdes,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29134|2864,,670,,,29134,,,,,44,2864,Dominator Touch Z,Kalli Core,Bobby Boulger,class_oog.php,
29134|2027,,670,,,29134,,,,,45,2027,Lagegonda Fz,Clark Montgomery,Clark Montgomery,class_oog.php,
29134|1837,,670,,,29134,,,,,46,1837,Os Quincy,Rebecca Warth,Rebecca Warth,class_oog.php,
29134|1649,,670,,,29134,,,,,47,1649,Chacoons Gisa Blue Z,Kyle Dewar,Kyle Dewar,class_oog.php,
29134|3008,,670,,,29134,,,,,48,3008,Mon-Ami,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,class_oog.php,
29134|2955,,670,,,29134,,,,,49,2955,Cameron 38,Jamie M. Stryker,Kirk Webby,class_oog.php,
29134|1182,,670,,,29134,,,,,50,1182,Lupina Colada,Wilton J. Porter,Wilton J. Porter,class_oog.php,
29134|2874,,670,,,29134,,,,,51,2874,Dropshot Z,Jordan Petersen,Jared P. Petersen,class_oog.php,
29134|1086,,670,,,29134,,,,,52,1086,It Is West,Rebecca Conway,Conan Conway,class_oog.php,
29134|1035,,670,,,29134,,,,,53,1035,Ideal,Grace Lyons,Alan Korotkin,class_oog.php,
29134|2292,,670,,,29134,,,,,54,2292,Icarus,Declan Egan,Declan Egan,class_oog.php,
