class_no,class_number,class_payout,class_name,class_label,source
29368,118,,"$600 Junior Hunter 3'6"" Large 16-17-Handy","118) $600 Junior Hunter 3'6"" Large 16-17-Handy",counts.php
29369,119,,"$350 Junior Hunter 3'6"" Large 16-17 U/S","119) $350 Junior Hunter 3'6"" Large 16-17 U/S",counts.php
33443,120,,"$400 Junior Hunter 3'3"" 15 & U","120) $400 Junior Hunter 3'3"" 15 & U",counts.php
33444,121,,"$400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)","121) $400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)",counts.php
33445,122,,"$400 Junior Hunter 3'3"" 15 & U","122) $400 Junior Hunter 3'3"" 15 & U",counts.php
33446,123,,"$400 Junior Hunter 3'3"" 15 & U- Handy","123) $400 Junior Hunter 3'3"" 15 & U- Handy",counts.php
33447,124,,"$200 Junior Hunter 3'3"" 15 & U U/S","124) $200 Junior Hunter 3'3"" 15 & U U/S",counts.php
33448,125,,"$400 Junior Hunter 3'3"" 16-17","125) $400 Junior Hunter 3'3"" 16-17",counts.php
33449,126,,"$400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)","126) $400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)",counts.php
33450,127,,"$400 Junior Hunter 3'3"" 16-17","127) $400 Junior Hunter 3'3"" 16-17",counts.php
33451,128,,"$400 Junior Hunter 3'3"" 16-17 - Handy","128) $400 Junior Hunter 3'3"" 16-17 - Handy",counts.php
33452,129,,"$200 Junior Hunter 3'3"" 16-17 U/S","129) $200 Junior Hunter 3'3"" 16-17 U/S",counts.php
29380,150,,"$250 Green Pony Conf Hunter- Small 2'3""","150) $250 Green Pony Conf Hunter- Small 2'3""",counts.php
29381,151,,"$250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)","151) $250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)",counts.php
28945,152,,"$250 Green Pony Hunter Sm 2'3""","152) $250 Green Pony Hunter Sm 2'3""",counts.php
28946,153,,"$250 Green Pony Hunter Sm 2'3""","153) $250 Green Pony Hunter Sm 2'3""",counts.php
28947,154,,"$100 Green Pony Hunter Sm 2'3"" U/S","154) $100 Green Pony Hunter Sm 2'3"" U/S",counts.php
28948,156,,"$250 Green Pony Conf Hunter- Med 2'6""","156) $250 Green Pony Conf Hunter- Med 2'6""",counts.php
28949,157,,"$250 Green Pony Hunter Med 2'6"" (1st rnd Classic)","157) $250 Green Pony Hunter Med 2'6"" (1st rnd Classic)",counts.php
28951,158,,"$250 Green Pony Hunter Med 2'6""","158) $250 Green Pony Hunter Med 2'6""",counts.php
28952,159,,"$250 Green Pony Hunter Med 2'6""","159) $250 Green Pony Hunter Med 2'6""",counts.php
28953,160,,"$100 Green Pony Hunter Med 2'6"" U/S","160) $100 Green Pony Hunter Med 2'6"" U/S",counts.php
28954,162,,"$250 Green Pony Conf Hunter- Lg 2'9""","162) $250 Green Pony Conf Hunter- Lg 2'9""",counts.php
28955,163,,"$250 Green Pony Hunter Lg 2'9"" (1st rnd Classic)","163) $250 Green Pony Hunter Lg 2'9"" (1st rnd Classic)",counts.php
28956,164,,"$250 Green Pony Hunter Lg 2'9""","164) $250 Green Pony Hunter Lg 2'9""",counts.php
28957,165,,"$250 Green Pony Hunter Lg 2'9""","165) $250 Green Pony Hunter Lg 2'9""",counts.php
28958,166,,"$100 Green Pony Hunter Lg 2'9"" U/S","166) $100 Green Pony Hunter Lg 2'9"" U/S",counts.php
28959,170,,"$375 Pony Conf Hunter- Sm 2'3""","170) $375 Pony Conf Hunter- Sm 2'3""",counts.php
28960,171,,"$375 Pony Hunter Sm 2'3"" (1st rnd Classic)","171) $375 Pony Hunter Sm 2'3"" (1st rnd Classic)",counts.php
28961,172,,"$375 Pony Hunter Sm 2'3""","172) $375 Pony Hunter Sm 2'3""",counts.php
28962,173,,"$375 Pony Hunter Sm 2'3""-Handy","173) $375 Pony Hunter Sm 2'3""-Handy",counts.php
28963,174,,"$150 Pony Hunter Sm 2'3"" U/S","174) $150 Pony Hunter Sm 2'3"" U/S",counts.php
28965,176,,"$375 Pony Conf Hunter- Med 2'6""","176) $375 Pony Conf Hunter- Med 2'6""",counts.php
28966,177,,"$375 Pony Hunter Med 2'6"" (1st rnd Classic)","177) $375 Pony Hunter Med 2'6"" (1st rnd Classic)",counts.php
28967,178,,"$375 Pony Hunter Med 2'6""","178) $375 Pony Hunter Med 2'6""",counts.php
28968,179,,"$375 Pony Hunter Med 2'6""-Handy","179) $375 Pony Hunter Med 2'6""-Handy",counts.php
28969,180,,"$150 Pony Hunter Med 2'6"" U/S","180) $150 Pony Hunter Med 2'6"" U/S",counts.php
28970,182,,"$375 Pony Conf Hunter- Lg 2'9""","182) $375 Pony Conf Hunter- Lg 2'9""",counts.php
28971,183,,"$375 Pony Hunter Lg 2'9"" (1st rnd Classic)","183) $375 Pony Hunter Lg 2'9"" (1st rnd Classic)",counts.php
28972,184,,"$375 Pony Hunter Lg 2'9""","184) $375 Pony Hunter Lg 2'9""",counts.php
28973,185,,"$375 Pony Hunter Lg 2'9""-Handy","185) $375 Pony Hunter Lg 2'9""-Handy",counts.php
28974,186,,"$150 Pony Hunter Lg 2'9"" U/S","186) $150 Pony Hunter Lg 2'9"" U/S",counts.php
28984,200,,$300 Child Hunter 14/U 3',200) $300 Child Hunter 14/U 3',counts.php
28985,201,,$300 Child Hunter 14/U (1st rnd Classic) 3',201) $300 Child Hunter 14/U (1st rnd Classic) 3',counts.php
28986,202,,$300 Child Hunter 14/U 3',202) $300 Child Hunter 14/U 3',counts.php
28987,203,,$300 Child Hunter 14/U 3',203) $300 Child Hunter 14/U 3',counts.php
28988,204,,$200 Child Hunter 14/U U/S 3',204) $200 Child Hunter 14/U U/S 3',counts.php
28989,205,,$300 Child Hunter 15-17 3',205) $300 Child Hunter 15-17 3',counts.php
28990,206,,$300 Child Hunter 15-17 (1st rnd Classic) 3',206) $300 Child Hunter 15-17 (1st rnd Classic) 3',counts.php
28991,207,,$300 Child Hunter 15-17 3',207) $300 Child Hunter 15-17 3',counts.php
28992,208,,$300 Child Hunter 15-17 3',208) $300 Child Hunter 15-17 3',counts.php
28993,209,,$200 Child Hunter 15-17 U/S 3',209) $200 Child Hunter 15-17 U/S 3',counts.php
28975,210,,$100 Child Pony Hunter Sm/Med 2',210) $100 Child Pony Hunter Sm/Med 2',counts.php
28976,211,,$100 Child Pony Hunter Sm/Med 2' (1st rnd Classic),211) $100 Child Pony Hunter Sm/Med 2' (1st rnd Classic),counts.php
28977,212,,$100 Child Pony Hunter Sm/Med 2',212) $100 Child Pony Hunter Sm/Med 2',counts.php
28978,213,,$100 Child Pony Hunter Sm/Med 2',213) $100 Child Pony Hunter Sm/Med 2',counts.php
28980,214,,$50 Child Pony Hunter Sm/Med 2' U/S,214) $50 Child Pony Hunter Sm/Med 2' U/S,counts.php
28981,215,,"$100 Child Pony Hunter Lg 2'6""","215) $100 Child Pony Hunter Lg 2'6""",counts.php
28982,216,,"$100 Child Pony Hunter Lg 2'6"" (1st rnd Classic)","216) $100 Child Pony Hunter Lg 2'6"" (1st rnd Classic)",counts.php
29501,217,,"$100 Child Pony Hunter Lg 2'6""","217) $100 Child Pony Hunter Lg 2'6""",counts.php
29502,218,,"$100 Child Pony Hunter Lg 2'6""","218) $100 Child Pony Hunter Lg 2'6""",counts.php
28983,219,,"$50 Child Pony Hunter Lg 2'6"" U/S","219) $50 Child Pony Hunter Lg 2'6"" U/S",counts.php
28994,220,,$300 Adult Hunter 18-35 3',220) $300 Adult Hunter 18-35 3',counts.php
28995,221,,$300 Adult Hunter 18-35 (1st rnd Classic) 3',221) $300 Adult Hunter 18-35 (1st rnd Classic) 3',counts.php
28996,222,,$300 Adult Hunter 18-35 3',222) $300 Adult Hunter 18-35 3',counts.php
28998,223,,$300 Adult Hunter 18-35 3',223) $300 Adult Hunter 18-35 3',counts.php
28999,224,,$200 Adult Hunter 18-35 U/S 3',224) $200 Adult Hunter 18-35 U/S 3',counts.php
29000,225,,$300 Adult Hunter 36-54 3',225) $300 Adult Hunter 36-54 3',counts.php
29001,226,,$300 Adult Hunter 36-54(1st rnd Classic) 3',226) $300 Adult Hunter 36-54(1st rnd Classic) 3',counts.php
29002,227,,$300 Adult Hunter 36-54 3',227) $300 Adult Hunter 36-54 3',counts.php
29003,228,,$300 Adult Hunter 36-54 3',228) $300 Adult Hunter 36-54 3',counts.php
29004,229,,$200 Adult Hunter 36-54 U/S 3',229) $200 Adult Hunter 36-54 U/S 3',counts.php
29005,230,,$300 Adult Hunter 55+ 3',230) $300 Adult Hunter 55+ 3',counts.php
29006,231,,$300 Adult Hunter 55+ (1st rnd Classic) 3',231) $300 Adult Hunter 55+ (1st rnd Classic) 3',counts.php
29007,232,,$300 Adult Hunter 55+ 3',232) $300 Adult Hunter 55+ 3',counts.php
