class_key,show_no,class_no,class_number,class_name,entry_count
14906|29160,14906,29160,628,1.00m Jumper II.2d,13
14906|29401,14906,29401,629,1.00m Jumper II.1,6
14906|29161,14906,29161,630,1.10m Jumper II.1,32
14906|29162,14906,29162,631,1.10m Jumper II.2d,23
14906|29163,14906,29163,632,1.10m Jumper II.2b,11
14906|29164,14906,29164,633,1.15m Jumper II.1,45
14906|29165,14906,29165,634,1.15m Jumper II.2d,10
14906|29402,14906,29402,635,1.15m Jumper II.2b,2
14906|29128,14906,29128,636,$500 1.20m Jumper II.1,58
14906|29129,14906,29129,637,$500 1.20m Jumper II.2d,12
14906|29130,14906,29130,638,$500 1.20m Jumper II.2b,4
14906|29131,14906,29131,642,$1000 1.30m Jumper II.1,26
14906|29132,14906,29132,643,$1000 1.30m Jumper II.2d,12
14906|29133,14906,29133,644,$1000 1.30m Jumper II.2b,19
14906|29134,14906,29134,645,$1000 1.35m Jumper II.1,69
14906|29135,14906,29135,646,$1000 1.35m Jumper II.2d,16
14906|29136,14906,29136,647,$1000 1.35m Jumper II.2b,6
14906|29137,14906,29137,648,$1500 1.40m Jumper II.1,7
14906|29138,14906,29138,649,$1500 1.40m Jumper II.2d,1
14906|28979,14906,28979,650,$2000 1.45m Jumper II.1,0
14906|29433,14906,29433,680,.90m Young Jumpers II,13
14906|29449,14906,29449,681,.90m Young Jumpers II,5
14906|29450,14906,29450,682,.90m Young Jumpers II,3
14906|29451,14906,29451,683,1.0m Young Jumpers II,9
14906|29452,14906,29452,684,1.0m Young Jumpers II,4
14906|29453,14906,29453,685,1.0m Young Jumpers II,2
14906|29166,14906,29166,686,1.10m Young Jumper II,22
14906|29167,14906,29167,687,1.10m Young Jumper II,11
14906|29168,14906,29168,688,1.10m Young Jumper II,10
14906|29169,14906,29169,689,$250 1.20m Young Jumper II.1,22
14906|29170,14906,29170,690,$250 1.20m Young Jumper II.2d,18
14906|29171,14906,29171,691,$250 1.20m Young Jumper II.2b,18
14906|29172,14906,29172,692,$250 1.30m Young Jumper II.1,27
14906|29173,14906,29173,693,$250 1.30m Young Jumper II.2d,22
14906|29174,14906,29174,694,$250 1.30m Young Jumper II.2b,23
14906|29125,14906,29125,695,$100 1.0m Thoroughbred Jumper II.1,2
14906|29126,14906,29126,696,$100 1.0m Thoroughbred Jumper II.2d,3
14906|29127,14906,29127,697,$100 1.0m Thoroughbred Jumper II.2b,2
14906|29119,14906,29119,731,$150 .90m Novice Junior Jumper II.1,6
14906|29120,14906,29120,732,$150 .90m Novice Junior Jumper II.2d,6
14906|29122,14906,29122,734,$150 .90m Novice Amateur Jumper II.1,3
14906|29123,14906,29123,735,$150 .90m Novice Amateur Jumper II.2d,3
14906|29113,14906,29113,737,$200 1.00m Junior Jumper II.1,11
14906|29114,14906,29114,738,$200 1.00m Junior Jumper II.2d,11
14906|29116,14906,29116,740,$200 1.00m Amateur Jumper II.1,7
14906|29117,14906,29117,741,$200 1.00m Amateur Jumper II.2d,6
14906|29107,14906,29107,749,$500 1.10m Junior Jumper II.1,12
14906|29108,14906,29108,750,$500 1.10m Junior Jumper II.2d,8
14906|29110,14906,29110,755,$500 1.10m Amateur Jumper II.1,15
14906|29111,14906,29111,756,$500 1.10m Amateur Jumper II.2d,14
14906|29104,14906,29104,757,$600 1.15m Junior/Amateur Jumper II.1,14
14906|29105,14906,29105,758,$600 1.15m Junior/Amateur Jumper II.2d,12
14906|29477,14906,29477,768,$1500 1.20m Junior/Amateur Jumper II.1,14
14906|29478,14906,29478,769,$1500 1.20m Junior/Amateur Jumper II.2d,10
14906|33465,14906,33465,775,$2000 1.30m JR/AM Jumper II.1,10
14906|33466,14906,33466,776,$2000 1.30m JR/AM Jumper II.2d,7
14906|29095,14906,29095,781,$2500 1.40m Jr/Am Jumper II.1,5
14906|29096,14906,29096,782,$2500 1.40m Jr/Am Jumper II.2d,6
14906|29180,14906,29180,803,"$10,000 Buckeye Nutrition Futures Prix 1.40m II.2b",17
14906|29455,14906,29455,804,"$15,000 C. Jarvis Insurance Welcome Prix 1.40m II.2b",20
14906|29413,14906,29413,805,"$50,000 First Equestrian Grand Prix 1.45m II.2a American Std",15
14906|29121,14906,29121,809,$500 .95m Novice Junior Classic II.2b,6
14906|29124,14906,29124,810,$500 .95m Novice Amateur Classic II.2b,4
14906|29115,14906,29115,811,$750 1.05m Junior Classic II.2b,10
14906|29118,14906,29118,812,$750 1.05m Amateur Classic II.2b,9
14906|29109,14906,29109,813,$2500 1.10m NAL/WIHS Junior Classic II.2b,9
14906|29112,14906,29112,815,$2500 1.10m NAL/WIHS Amateur Classic II.2b,16
14906|29106,14906,29106,816,$3000 1.15m Junior/Amateur Classic II.2b,12
14906|29409,14906,29409,817,$500 .65m Long Creek Farm Junior/Amateur Classic II.2b,8
14906|29410,14906,29410,818,$500 .75m Junior/Amateur Classic II.2b,12
14906|29412,14906,29412,820,$500 .85m Junior/Amateur Classic II.2b,15
14906|29479,14906,29479,851,$5000 NAL 1.25m FreeRide Equestrian Jr/Am Classic II.2b,13
14906|29100,14906,29100,853,$5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b,10
14906|29097,14906,29097,855,"$10,000 1.45m Junior/Amateur Classic II.2b",4
14906|29139,14906,29139,856,$7500 1.40m ARIAT Jumper Classic II.2b,4
14906|29470,14906,29470,900,Short/Long Stirrup Hunter 2',16
14906|29471,14906,29471,901,Short/Long Stirrup Hunter (1st rnd Classic)) 2',16
14906|29472,14906,29472,902,Short/Long Stirrup Hunter 2',16
14906|29473,14906,29473,903,Short/Long Stirrup Hunter 2',16
14906|29474,14906,29474,904,Short/Long Stirrup Hunter U/S,16
14906|29496,14906,29496,910,Short/Long Stirrup Equitation 2',11
14906|29497,14906,29497,911,Short/Long Stirrup Equitation 2',11
14906|29498,14906,29498,912,Short/Long Stirrup Equitation Flat,11
14906|33455,14906,33455,916,"Crossrails 18""",6
14906|33456,14906,33456,917,"Crossrails 18""",6
14906|33457,14906,33457,918,"Crossrails 18""",6
14906|33458,14906,33458,919,"Crossrails 18""",6
14906|33459,14906,33459,920,Crossrails Flat,6
14906|29201,14906,29201,926,$500 Short Stirrup/Long Stirrup Classic 2',15
14906|29248,14906,29248,927,Walk Trot Equitation Ground Rails,8
14906|29249,14906,29249,928,Walk Trot Equitation Ground Rails,8
14906|29250,14906,29250,929,Walk Trot Equitation Ground Rails,8
14906|29251,14906,29251,930,Walk Trot Equitation Ground Rails,8
14906|29252,14906,29252,931,Walk Trot Equitation Ground Rails Flat,7
14906|29247,14906,29247,2001,Leadline,3
14906|28944,14906,28944,2200,FEI CSI2* Horse Inspection & Jog,54
14906|29237,14906,29237,2201,"$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",32
14906|28941,14906,28941,2202,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",31
14906|28943,14906,28943,2203,"$32,000 4 CYTE Grand Prix Qualifier CSI2* 1.45m 220.2.1.2",40
14906|28940,14906,28940,2204,"$85,000 4CYTE Grand Prix FEI CSI2* 1.45m 220.2.1.2",40
14906|29265,14906,29265,9001,Ticketed Schooling-Tuesday Indoor 5 8:00 am- 4:00 pm,88
14906|29266,14906,29266,9002,Ticketed Schooling-Tuesday Indoor 6 8:30 am 4:30 pm,76
14906|29269,14906,29269,9004,Ticketed Schooling-Tuesday Indoor 1 8:30 am 4:30 pm,59
14906|29270,14906,29270,9005,Ticketed Schooling-Tuesday Indoor 2 8:30 am 4:30 pm,60
14906|29272,14906,29272,9006,Ticketed Schooling-Tuesday Indoor 4 8:00 am 3:00am,72
14906|29408,14906,29408,9013,Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,0
14906|29417,14906,29417,9014,Ticketed Schooling- Thursday Hunter 2 8am- 3pm,0
14906|29418,14906,29418,9015,Ticketed Schooling- Friday Hunter 2 8am- 3pm,0
14906|29419,14906,29419,9016,Ticketed Schooling- Saturday Hunter 2 8am- 3pm,0
14906|29420,14906,29420,9017,Ticketed Schooling- Sunday Hunter 2 8am- 12pm,0
14906|33484,14906,33484,9018,Ticketed Schooling- Tuesday Jumper Annex 8:00am-3:00pm,17
14906|33485,14906,33485,9019,Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,0
14906|33486,14906,33486,9020,Ticketed Schooling- Thursday Jumper Annex 8:00am-3:00pm,0
